pays,score_final_viande_de_bovins,score_final_lait,score_final_ble,score_final_epices,cluster,cluster_label,score_global
"Chine, continentale",0.7620375573741793,0.8133645711239259,0.5752547558546743,0.7363092962506547,1,Priorite multi-produits,0.7217415451508585
Indonésie,0.6655140439868954,0.6737741842647241,0.7736250432875779,0.540136757311771,1,Priorite multi-produits,0.6632625072127422
Viet Nam,0.6401139734993418,0.6400478471114066,0.7006494135330237,0.6456604777001663,1,Priorite multi-produits,0.6566179279609846
Philippines,0.633248299406689,0.6508429087879966,0.6834359459691263,0.6234915412503659,1,Priorite multi-produits,0.6477546738535445
Japon,0.6571686509229545,0.6107231245649697,0.6591259026741988,0.6232154205442653,1,Priorite multi-produits,0.6375582746765971
Bangladesh,0.6473467802132006,0.6375351720242272,0.7113268268855817,0.5302675034768121,1,Priorite multi-produits,0.6316190706499554
Ghana,0.6321372112616364,0.6323720379379069,0.6021478924579584,0.6331554367856029,1,Priorite multi-produits,0.6249531446107761
Nigéria,0.6443497060911845,0.658235127111454,0.700276732982652,0.49468854480072777,1,Priorite multi-produits,0.6243875277465045
Inde,0.7480664512217645,0.5209714873483604,0.6384029791365848,0.44992232104505214,3,Marches specialises,0.5893408096879404
Sri Lanka,0.6296941591158431,0.6255018468022125,0.5886368531877174,0.46833835940237295,3,Marches specialises,0.5780428046270365
Malaisie,0.6177117117893284,0.6355753434123763,0.5800219956443073,0.47337007332146974,3,Marches specialises,0.5766697810418705
Trinité-et-Tobago,0.6053266267607083,0.6101825431158493,0.48045771930151315,0.4607670731339948,3,Marches specialises,0.5391834905780164
Maurice,0.6024602550356286,0.6178073183443218,0.4296930082931442,0.5005395150061173,3,Marches specialises,0.537625024169803
Koweït,0.5903938445634973,0.5993245404814233,0.47559420610463915,0.4655461561552655,3,Marches specialises,0.5327146868262063
Guyana,0.6130546954003471,0.5697010313660127,0.5370578857859811,0.3789709345707108,3,Marches specialises,0.5246961367807629
Népal,0.5821480517075199,0.5931560751429324,0.5497275238560122,0.2952660020155929,3,Marches specialises,0.5050744131805144
Slovaquie,0.5998163010973454,0.5290396352598801,0.5251591982436599,0.6062579599519655,0,Potentiel intermediaire,0.5650682736382127
Chypre,0.5927992647169555,0.5497268060313631,0.48925934007446026,0.6080969635885991,0,Potentiel intermediaire,0.5599705936028445
Italie,0.5654229512103631,0.5373790842281109,0.48956661073937,0.6470801530426258,0,Potentiel intermediaire,0.5598621998051174
Pologne,0.5963879043574278,0.5090308947004544,0.45943717259200695,0.6372301299064234,0,Potentiel intermediaire,0.5505215253890782
Liban,0.570293458602831,0.5884233458352253,0.4269328876818653,0.6053236422544808,0,Potentiel intermediaire,0.5477433335936006
Bosnie-Herzégovine,0.5791789852876092,0.4892430139469248,0.5006786071359552,0.6207320634647295,0,Potentiel intermediaire,0.5474581674588047
Macédoine du Nord,0.5912326108548656,0.5187476692633466,0.46390197560456803,0.6010813535166588,0,Potentiel intermediaire,0.5437409023098597
Serbie,0.5934128383189745,0.5055750371831105,0.4472499173894364,0.6262500157563897,0,Potentiel intermediaire,0.5431219521619778
États-Unis d'Amérique,0.32179448287058865,0.35216153095593755,0.5002686689752281,0.792864714251681,2,Faible priorite immediate,0.4917723492633589
Australie,0.34189307405835306,0.47507279684727066,0.4340542220024468,0.6015809805513669,2,Faible priorite immediate,0.4631502683648594
Argentine,0.24140708691050286,0.5066304751609622,0.416405331517972,0.6319641074279674,2,Faible priorite immediate,0.44910175025435106
